position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	O7eOux_w1G0	2017-01-08T15:10:21.000Z	2017-01-08 16:10:21	Nightcore B A D T I M E Undertale Owl City Good Time Parody		22	People & Blogs	PT2M41S	161	2d	hd	false	1	1	0	0	0	0
2	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	cc2wTMsiTqw	2017-01-08T15:10:22.000Z	2017-01-08 16:10:22	The Head and the Heart Interview		22	People & Blogs	PT12M57S	777	2d	sd	false	1	1	0	0	0	0
3	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	ZUEF8iGOimM	2017-01-08T15:10:23.000Z	2017-01-08 16:10:23	The Head and The Heart Interview Series Charity Rose Thielen by Lostinmymind com		22	People & Blogs	PT6M28S	388	2d	sd	false	1	1	0	0	0	0
4	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	RJ-LpgXHVrs	2017-01-08T15:10:23.000Z	2017-01-08 16:10:23	The Head and the Heart at Newport Folk Festival 2012		22	People & Blogs	PT6M24S	384	2d	sd	false	1	0	0	0	0	0
5	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	ZRpBoyMWsl8	2017-01-08T15:10:24.000Z	2017-01-08 16:10:24	The Head and the Heart ~ Rivers & Roads		22	People & Blogs	PT4M42S	282	2d	sd	false	1	1	0	0	0	0
6	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	wLLtd8wJjTI	2017-01-08T15:10:26.000Z	2017-01-08 16:10:26	Next To Me Otto Knows Cover Fredrik Hagge Hagedorn		22	People & Blogs	PT3M26S	206	2d	sd	false	1	1	0	0	0	0
7	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	iquEHmjUqA4	2017-01-08T15:10:32.000Z	2017-01-08 16:10:32	my roommate is gay!!$ ! YouTube		22	People & Blogs	PT2M18S	138	2d	sd	false	1	11	0	0	0	0
8	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	4Xy2zEmLJ4g	2017-01-08T15:10:32.000Z	2017-01-08 16:10:32	Million Voices Otto Knows Acoustic Cover		22	People & Blogs	PT3M5S	185	2d	sd	false	1	3	0	0	0	0
9	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	ELVsTE9mWCs	2017-01-08T15:10:31.000Z	2017-01-08 16:10:31	The Head and the Heart		22	People & Blogs	PT4M21S	261	2d	sd	false	1	1	0	0	0	0
10	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	0zAyhVNeTJY	2017-01-08T15:10:30.000Z	2017-01-08 16:10:30	The Head and the Heart The Doe Bay Sessions		22	People & Blogs	PT9M24S	564	2d	sd	false	1	4	1	0	0	0
11	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	6liA0d6caBA	2017-01-08T15:10:44.000Z	2017-01-08 16:10:44	The Head and the Heart Oh Virginia & Down In the Valley Live from Northampton, MA 07 28 2012		22	People & Blogs	PT12M48S	768	2d	sd	false	1	9	0	0	0	0
12	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	xiL_0DbN-Zg	2017-01-08T15:10:43.000Z	2017-01-08 16:10:43	The Head and the Heart Oh My Dear Live at the Fillmore Philly June 5 2016		22	People & Blogs	PT5M24S	324	2d	sd	false	1	3	0	0	0	0
13	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	4TpEEAuwyHQ	2017-01-08T15:10:42.000Z	2017-01-08 16:10:42	The Head and the Heart Oh My Dear & I Don t Mind 11 2 16 Eccles Theater SLC, UT		22	People & Blogs	PT5M23S	323	2d	sd	false	1	3	0	0	0	0
14	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	vkXgm6IycBg	2017-01-08T15:10:40.000Z	2017-01-08 16:10:40	The Head and the Heart Library Magic³ 8 28 16 Red Rocks Amphitheatre Morrison, CO		22	People & Blogs	PT5M34S	334	2d	sd	false	1	1	0	0	0	0
15	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	qdhXn70tPU0	2017-01-08T15:10:39.000Z	2017-01-08 16:10:39	The Head and the Heart Let s Be Still Guitar Lesson		22	People & Blogs	PT8M3S	483	2d	sd	false	1	2	0	0	0	0
16	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	6ZpG84NsveY	2017-01-08T15:10:39.000Z	2017-01-08 16:10:39	MBB Rick Pitino Postgame Press Conference vs Virginia		22	People & Blogs	PT3M30S	210	2d	sd	false	1	2	0	0	0	0
17	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	9DeWElyj7U8	2017-01-08T15:10:34.000Z	2017-01-08 16:10:34	Liam McGenity I Forget Where We Were Ben Howard Cover		22	People & Blogs	PT1M42S	102	2d	sd	false	1	5	0	0	0	0
18	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	ZLobVqzMVDM	2017-01-08T15:10:32.000Z	2017-01-08 16:10:32	The Head and the Heart Down in the Valley, Live Aragon Ballroom, Chicago 12 13 14		22	People & Blogs	PT7M	7	2d	sd	false	1	0	0	0	0	0
19	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	Af4vxVVP84U	2017-01-08T15:10:30.000Z	2017-01-08 16:10:30	The Head and the Heart Down in the Valley HD		22	People & Blogs	PT5M37S	337	2d	sd	false	1	3	0	0	0	0
20	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	s6F6-LfAxRE	2017-01-08T15:10:29.000Z	2017-01-08 16:10:29	The Head And The Heart Down In The Valley Acoustic		22	People & Blogs	PT5M34S	334	2d	sd	false	1	3	0	0	0	0
21	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	wy6Qm7I_g-Q	2017-01-08T15:10:29.000Z	2017-01-08 16:10:29	The Head and the Heart Colors ³ 8 28 16 Red Rocks Amphitheatre Morrison, CO		22	People & Blogs	PT3M58S	238	2d	sd	false	1	3	0	0	0	0
